-2		-3503.615691
-1.75		-3603.053749
-1.5		-3705.606510
-1.25		-3810.513251
-1		-3917.026635
-.75		-4024.324036
-.5		-4131.567269
-.25		-4237.802384
0		-4342.039080
.25		-4443.254884
.5		-4540.532709
.75		-4633.040516
1		-4720.117305
1.25		-4801.252370
1.5		-4876.159574
1.75		-4944.697355
2		-5006.889084
2.25		-5062.866944
2.5		-5112.893549
2.75		-5157.287505
3		-5196.427174
3.25		-5230.708417
3.5		-5260.560880
3.75		-5286.400907
4		-5308.639201
4.25		-5327.662854
4.5		-5343.844058
4.75		-5357.522920
5		-5369.013933
5.25		-5378.598179
5.5		-5386.535543
5.75		-5393.053985
6		-5398.357269
6.25		-5402.623938
6.5		-5406.012465
6.75		-5408.660010
7		-5410.686165
7.25		-5412.193668
7.5		-5413.271896
7.75		-5413.996833
8		-5414.433427
8.25		-5414.636963
8.5		-5414.654037
8.75		-5414.523974
9		-5414.279667
9.25		-5413.948624
9.5		-5413.553493
9.75		-5413.113010
10		-5412.642434
10.25		-5412.154258
10.5		-5411.658331
10.75		-5411.162580
11		-5410.673140
11.25		-5410.194849
11.5		-5409.731150
11.75		-5409.284643
12		-5408.857067
12.25		-5408.449593
12.5		-5408.062741
12.75		-5407.696691
13		-5407.351253
13.25		-5407.026065
13.5		-5406.720440
13.75		-5406.433635
14		-5406.164775
14.25		-5405.912951
14.5		-5405.677162
14.75		-5405.456424
15		-5405.249734
15.25		-5405.056145
15.5		-5404.874670
15.75		-5404.704399
16		-5404.544444
16.25		-5404.393977
16.5		-5404.252188
16.75		-5404.118333
17		-5403.991704
17.25		-5403.871659
17.5		-5403.757576
17.75		-5403.648895
18		-5403.545090
18.25		-5403.445691
18.5		-5403.350248
18.75		-5403.258361
19		-5403.169661
19.25		-5403.083818
19.5		-5403.000522
19.75		-5402.919501
20		-5402.840505
20.25		-5402.763314
20.5		-5402.687724
20.75		-5402.613558
21		-5402.540653
21.25		-5402.468872
21.5		-5402.398086
21.75		-5402.328184
22		-5402.259068
22.25		-5402.190659
22.5		-5402.122876
22.75		-5402.055660
23		-5401.988953
23.25		-5401.922713
23.5		-5401.856899
23.75		-5401.791478
24		-5401.726423
24.25		-5401.661718
24.5		-5401.597342
24.75		-5401.533283
25		-5401.469532
25.25		-5401.406088
25.5		-5401.342943
25.75		-5401.280100
26		-5401.217557
26.25		-5401.155324
26.5		-5401.093400
26.75		-5401.031793
27		-5400.970510
27.25		-5400.909562
27.5		-5400.848955
27.75		-5400.788698
28		-5400.728801
28.25		-5400.669276
28.5		-5400.610131
28.75		-5400.551376
29		-5400.493020
29.25		-5400.435076
29.5		-5400.377551
29.75		-5400.320455
30		-5400.263796
30.25		-5400.207586
30.5		-5400.151831
30.75		-5400.096539
