-7.000 1438.882184 -5384.836442
-6.500 555.157333 -5387.830670
-6.000 -392.944892 -5390.579341
-5.500 -1372.919178 -5393.081532
-5.000 -2348.255965 -5395.337785
-4.500 -3258.275230 -5397.350015
-4.000 -4031.276571 -5399.121419
-3.500 -4609.565723 -5400.656397
-3.000 -4986.832977 -5401.960464
-2.500 -5203.752504 -5403.040183
-2.000 -5316.893850 -5403.903095
-1.750 -5349.307499 -5404.255860
-1.500 -5371.246859 -5404.557667
-1.250 -5385.702088 -5404.809713
-1.000 -5394.895378 -5405.013245
-0.800 -5399.568983 -5405.142014
-0.600 -5402.539047 -5405.241256
-0.500 -5403.536672 -5405.280026
-0.400 -5404.274665 -5405.311684
-0.300 -5404.793919 -5405.336321
-0.200 -5405.129786 -5405.354031
-0.100 -5405.312755 -5405.364909
0.000 -5405.369058 -5405.369058
0.100 -5405.321212 -5405.366560
0.200 -5405.188486 -5405.357529
0.300 -5404.987332 -5405.342060
0.400 -5404.731749 -5405.320259
0.500 -5404.433612 -5405.292226
0.600 -5404.102959 -5405.258069
0.800 -5403.376549 -5405.171810
1.000 -5402.604861 -5405.062357
1.250 -5401.630307 -5404.894306
1.500 -5400.685600 -5404.693261
2.000 -5398.975247 -5404.199917
2.500 -5397.551199 -5403.598720
3.000 -5396.401934 -5402.907861
3.500 -5395.486774 -5402.147928
4.000 -5394.760829 -5401.342800
4.500 -5394.184122 -5400.520969
5.000 -5393.723932 -5399.717174
5.500 -5393.354510 -5398.973015
6.000 -5393.055955 -5398.331233
6.500 -5392.812995 -5397.817274
7.000 -5392.613915 -5397.424507
7.500 -5392.449703 -5397.127085
8.000 -5392.313389 -5396.899130
8.500 -5392.199551 -5396.721242
9.000 -5392.103940 -5396.579960
10.000 -5391.954690 -5396.372878
11.000 -5391.846217 -5396.231715
12.000 -5391.765981 -5396.131960
13.000 -5391.705692 -5396.059504
14.000 -5391.659747 -5396.005711
15.000 -5391.624284 -5395.965039
