# 
# r/Sigma/Pi                                                                      
# 
  2.2500000000E+00  5.0107615459E+03  3.4314126874E+02
  2.3000000000E+00  4.5145430625E+03  1.7167315675E+02
  2.3500000000E+00  4.1488364797E+03  3.6502439440E+01
  2.4000000000E+00  3.9259742977E+03 -7.0833502675E+01
  2.4500000000E+00  3.8093060635E+03 -1.5523930261E+02
  2.5000000000E+00  3.7552466630E+03 -2.2021992578E+02
  2.5500000000E+00  3.7298355711E+03 -2.6877061249E+02
  2.6000000000E+00  3.7119574036E+03 -3.0363923123E+02
  2.6500000000E+00  3.6910323939E+03 -3.2733964146E+02
  2.7000000000E+00  3.6633469667E+03 -3.4210331212E+02
  2.7500000000E+00  3.6288438130E+03 -3.4984376265E+02
  2.8000000000E+00  3.5889079293E+03 -3.5215212206E+02
  2.8500000000E+00  3.5450976280E+03 -3.5031909141E+02
  2.9000000000E+00  3.4985699765E+03 -3.4537243970E+02
  2.9500000000E+00  3.4499362198E+03 -3.3812015091E+02
  3.0000000000E+00  3.3993392620E+03 -3.2919246518E+02
  3.0500000000E+00  3.3466148818E+03 -3.1907911848E+02
  3.1000000000E+00  3.2914573028E+03 -3.0816035013E+02
  3.1500000000E+00  3.2335516278E+03 -2.9673165416E+02
  3.2000000000E+00  3.1726617525E+03 -2.8502297934E+02
  3.2500000000E+00  3.1086765264E+03 -2.7321335908E+02
  3.3000000000E+00  3.0416231075E+03 -2.6144196359E+02
  3.3500000000E+00  2.9716578949E+03 -2.4981644816E+02
  3.4000000000E+00  2.8990443996E+03 -2.3841930546E+02
  3.4500000000E+00  2.8241253879E+03 -2.2731276403E+02
  3.5000000000E+00  2.7472944367E+03 -2.1654263151E+02
  3.5500000000E+00  2.6689701035E+03 -2.0614136626E+02
  3.6000000000E+00  2.5895743923E+03 -1.9613057546E+02
  3.6500000000E+00  2.5095161058E+03 -1.8652307562E+02
  3.7000000000E+00  2.4291789654E+03 -1.7732460953E+02
  3.7500000000E+00  2.3489139691E+03 -1.6853528483E+02
  3.8000000000E+00  2.2690352637E+03 -1.6015078118E+02
  3.8500000000E+00  2.1898187577E+03 -1.5216336140E+02
  3.9000000000E+00  2.1115027498E+03 -1.4456271426E+02
  3.9500000000E+00  2.0342899338E+03 -1.3733665202E+02
  4.0000000000E+00  1.9583502574E+03 -1.3047168261E+02
  4.0500000000E+00  1.8838242248E+03 -1.2395347395E+02
