-5		-2351.992018
-4.75		-2712.596108
-4.5		-3061.996816
-4.25		-3388.600797
-4		-3687.847949
-3.75		-3958.493086
-3.5		-4196.992459
-3.25		-4405.346848
-3		-4584.885645
-2.75		-4738.091371
-2.5		-4867.407861
-2.25		-4975.303048
-2		-5064.202765
-1.75		-5136.548617
-1.5		-5194.698153
-1.25		-5240.860910
-1		-5277.045363
-.75		-5305.032330
-.5		-5326.368700
-.25		-5342.374587
0		-5354.158829
.25		-5362.639339
.5		-5368.566015
.75		-5372.543799
1		-5375.055114
1.25		-5376.480310
1.5		-5377.116000
1.75		-5377.190928
2		-5376.879471
2.25		-5376.312952
2.5		-5375.588889
2.75		-5374.778563
3		-5373.933073
3.25		-5373.088159
3.5		-5372.268006
3.75		-5371.488197
4		-5370.758000
4.25		-5370.082160
4.5		-5369.462193
4.75		-5368.897417
5		-5368.385697
5.25		-5367.923986
5.5		-5367.508721
5.75		-5367.136127
6		-5366.802386
6.25		-5366.503784
6.5		-5366.236791
6.75		-5365.998119
7		-5365.784725
7.25		-5365.593857
7.5		-5365.423007
7.75		-5365.269936
8		-5365.132637
8.25		-5365.009332
8.5		-5364.898432
8.75		-5364.798544
9		-5364.708434
9.25		-5364.627006
9.5		-5364.553306
9.75		-5364.486489
10		-5364.425811
10.25		-5364.370618
10.5		-5364.320334
10.75		-5364.274453
