 # He-Ba+ p-pots from DIM (no SO) using Fausto"s inputs, Angstoms, cm-1
 #        r            6p 1          6p 2          6p 3     6p4      6p5    6p6
   13.172000       12985.065       12985.065       13042.736       13042.736       13042.814       13042.814    
   13.206000       12985.067       12985.067       13042.739       13042.739       13042.816       13042.816    
   13.240000       12985.069       12985.069       13042.741       13042.741       13042.817       13042.817    
   13.274000       12985.071       12985.071       13042.744       13042.744       13042.819       13042.819    
   13.308000       12985.073       12985.073       13042.747       13042.747       13042.820       13042.820    
   13.342000       12985.075       12985.075       13042.749       13042.749       13042.822       13042.822    
   13.376000       12985.077       12985.077       13042.752       13042.752       13042.823       13042.823    
   13.410000       12985.079       12985.079       13042.755       13042.755       13042.824       13042.824    
   13.444000       12985.081       12985.081       13042.757       13042.757       13042.825       13042.825    
   13.478000       12985.083       12985.083       13042.760       13042.760       13042.827       13042.827    
   13.512000       12985.085       12985.085       13042.762       13042.762       13042.828       13042.828    
   13.546000       12985.087       12985.087       13042.765       13042.765       13042.829       13042.829    
   13.580000       12985.088       12985.088       13042.767       13042.767       13042.830       13042.830    
   13.614000       12985.090       12985.090       13042.769       13042.769       13042.831       13042.831    
   13.648000       12985.092       12985.092       13042.772       13042.772       13042.833       13042.833    
   13.682000       12985.093       12985.093       13042.774       13042.774       13042.834       13042.834    
   13.716000       12985.095       12985.095       13042.776       13042.776       13042.835       13042.835    
   13.750000       12985.097       12985.097       13042.778       13042.778       13042.836       13042.836    
   13.784000       12985.098       12985.098       13042.780       13042.780       13042.837       13042.837    
   13.818000       12985.100       12985.100       13042.783       13042.783       13042.838       13042.838    
   13.852000       12985.101       12985.101       13042.785       13042.785       13042.839       13042.839    
   13.886000       12985.103       12985.103       13042.787       13042.787       13042.840       13042.840    
   13.920000       12985.104       12985.104       13042.789       13042.789       13042.841       13042.841    
   13.954000       12985.106       12985.106       13042.791       13042.791       13042.842       13042.842    
   13.988000       12985.107       12985.107       13042.792       13042.792       13042.843       13042.843    
   14.022000       12985.109       12985.109       13042.794       13042.794       13042.844       13042.844    
   14.056000       12985.110       12985.110       13042.796       13042.796       13042.845       13042.845    
   14.090000       12985.111       12985.111       13042.798       13042.798       13042.845       13042.845    
   14.124000       12985.113       12985.113       13042.800       13042.800       13042.846       13042.846    
   14.158000       12985.114       12985.114       13042.802       13042.802       13042.847       13042.847    
   14.192000       12985.115       12985.115       13042.803       13042.803       13042.848       13042.848    
   14.226000       12985.117       12985.117       13042.805       13042.805       13042.849       13042.849    
   14.260000       12985.118       12985.118       13042.807       13042.807       13042.850       13042.850    
   14.294000       12985.119       12985.119       13042.808       13042.808       13042.850       13042.850    
   14.328000       12985.120       12985.120       13042.810       13042.810       13042.851       13042.851    
   14.362000       12985.121       12985.121       13042.811       13042.811       13042.852       13042.852    
   14.396000       12985.122       12985.122       13042.813       13042.813       13042.853       13042.853    
   14.430000       12985.124       12985.124       13042.815       13042.815       13042.853       13042.853    
   14.464000       12985.125       12985.125       13042.816       13042.816       13042.854       13042.854    
   14.498000       12985.126       12985.126       13042.817       13042.817       13042.855       13042.855    
   14.532000       12985.127       12985.127       13042.819       13042.819       13042.855       13042.855    
   14.566000       12985.128       12985.128       13042.820       13042.820       13042.856       13042.856    
   14.600000       12985.129       12985.129       13042.822       13042.822       13042.857       13042.857    
   14.634000       12985.130       12985.130       13042.823       13042.823       13042.857       13042.857    
   14.668000       12985.131       12985.131       13042.824       13042.824       13042.858       13042.858    
   14.702000       12985.132       12985.132       13042.826       13042.826       13042.859       13042.859    
   14.736000       12985.133       12985.133       13042.827       13042.827       13042.859       13042.859    
   14.770000       12985.134       12985.134       13042.828       13042.828       13042.860       13042.860    
   14.804000       12985.135       12985.135       13042.829       13042.829       13042.860       13042.860    
   14.838000       12985.135       12985.135       13042.831       13042.831       13042.861       13042.861    
   14.872000       12985.136       12985.136       13042.832       13042.832       13042.861       13042.861    
   14.906000       12985.137       12985.137       13042.833       13042.833       13042.862       13042.862    
   14.940000       12985.138       12985.138       13042.834       13042.834       13042.862       13042.862    
   14.974000       12985.139       12985.139       13042.835       13042.835       13042.863       13042.863    
   15.008000       12985.140       12985.140       13042.836       13042.836       13042.864       13042.864    
   15.042000       12985.140       12985.140       13042.837       13042.837       13042.864       13042.864    
   15.076000       12985.141       12985.141       13042.838       13042.838       13042.865       13042.865    
   15.110000       12985.142       12985.142       13042.839       13042.839       13042.865       13042.865    
   15.144000       12985.143       12985.143       13042.840       13042.840       13042.866       13042.866    
   15.178000       12985.143       12985.143       13042.841       13042.841       13042.866       13042.866    
   15.212000       12985.144       12985.144       13042.842       13042.842       13042.866       13042.866    
   15.246000       12985.145       12985.145       13042.843       13042.843       13042.867       13042.867    
   15.280000       12985.145       12985.145       13042.844       13042.844       13042.867       13042.867    
   15.314000       12985.146       12985.146       13042.845       13042.845       13042.868       13042.868    
   15.348000       12985.147       12985.147       13042.846       13042.846       13042.868       13042.868    
   15.382000       12985.147       12985.147       13042.847       13042.847       13042.869       13042.869    
   15.416000       12985.148       12985.148       13042.848       13042.848       13042.869       13042.869    
   15.450000       12985.149       12985.149       13042.849       13042.849       13042.869       13042.869    
   15.484000       12985.149       12985.149       13042.849       13042.849       13042.870       13042.870    
   15.518000       12985.150       12985.150       13042.850       13042.850       13042.870       13042.870    
   15.552000       12985.151       12985.151       13042.851       13042.851       13042.871       13042.871    
   15.586000       12985.151       12985.151       13042.852       13042.852       13042.871       13042.871    
   15.620000       12985.152       12985.152       13042.853       13042.853       13042.871       13042.871    
   15.654000       12985.152       12985.152       13042.853       13042.853       13042.872       13042.872    
   15.688000       12985.153       12985.153       13042.854       13042.854       13042.872       13042.872    
   15.722000       12985.153       12985.153       13042.855       13042.855       13042.873       13042.873    
   15.756000       12985.154       12985.154       13042.855       13042.855       13042.873       13042.873    
   15.790000       12985.154       12985.154       13042.856       13042.856       13042.873       13042.873    
   15.824000       12985.155       12985.155       13042.857       13042.857       13042.874       13042.874    
   15.858000       12985.155       12985.155       13042.857       13042.857       13042.874       13042.874    
   15.892000       12985.156       12985.156       13042.858       13042.858       13042.874       13042.874    
   15.926000       12985.156       12985.156       13042.859       13042.859       13042.875       13042.875    
   15.960000       12985.157       12985.157       13042.859       13042.859       13042.875       13042.875    
   15.994000       12985.157       12985.157       13042.860       13042.860       13042.875       13042.875    
   16.028000       12985.158       12985.158       13042.861       13042.861       13042.875       13042.875    
   16.062000       12985.158       12985.158       13042.861       13042.861       13042.876       13042.876    
   16.096000       12985.159       12985.159       13042.862       13042.862       13042.876       13042.876    
   16.130000       12985.159       12985.159       13042.862       13042.862       13042.876       13042.876    
   16.164000       12985.159       12985.159       13042.863       13042.863       13042.877       13042.877    
   16.198000       12985.160       12985.160       13042.863       13042.863       13042.877       13042.877    
   16.232000       12985.160       12985.160       13042.864       13042.864       13042.877       13042.877    
   16.266000       12985.161       12985.161       13042.864       13042.864       13042.877       13042.877    
   16.300000       12985.161       12985.161       13042.865       13042.865       13042.878       13042.878    
   16.334000       12985.161       12985.161       13042.865       13042.865       13042.878       13042.878    
   16.368000       12985.162       12985.162       13042.866       13042.866       13042.878       13042.878    
   16.402000       12985.162       12985.162       13042.866       13042.866       13042.878       13042.878    
   16.436000       12985.162       12985.162       13042.867       13042.867       13042.879       13042.879    
   16.470000       12985.163       12985.163       13042.867       13042.867       13042.879       13042.879    
   16.504000       12985.163       12985.163       13042.868       13042.868       13042.879       13042.879    
   16.538000       12985.164       12985.164       13042.868       13042.868       13042.879       13042.879    
   16.572000       12985.164       12985.164       13042.869       13042.869       13042.880       13042.880    
   16.606000       12985.164       12985.164       13042.869       13042.869       13042.880       13042.880    
   16.640000       12985.164       12985.164       13042.869       13042.869       13042.880       13042.880    
   16.674000       12985.165       12985.165       13042.870       13042.870       13042.880       13042.880    
   16.708000       12985.165       12985.165       13042.870       13042.870       13042.881       13042.881    
   16.742000       12985.165       12985.165       13042.871       13042.871       13042.881       13042.881    
   16.776000       12985.166       12985.166       13042.871       13042.871       13042.881       13042.881    
   16.810000       12985.166       12985.166       13042.871       13042.871       13042.881       13042.881    
   16.844000       12985.166       12985.166       13042.872       13042.872       13042.881       13042.881    
   16.878000       12985.167       12985.167       13042.872       13042.872       13042.882       13042.882    
   16.912000       12985.167       12985.167       13042.873       13042.873       13042.882       13042.882    
   16.946000       12985.167       12985.167       13042.873       13042.873       13042.882       13042.882    
   16.980000       12985.167       12985.167       13042.873       13042.873       13042.882       13042.882    
   17.014000       12985.168       12985.168       13042.874       13042.874       13042.882       13042.882    
   17.048000       12985.168       12985.168       13042.874       13042.874       13042.883       13042.883    
   17.082000       12985.168       12985.168       13042.874       13042.874       13042.883       13042.883    
   17.116000       12985.168       12985.168       13042.875       13042.875       13042.883       13042.883    
   17.150000       12985.169       12985.169       13042.875       13042.875       13042.883       13042.883    
   17.184000       12985.169       12985.169       13042.875       13042.875       13042.883       13042.883    
   17.218000       12985.169       12985.169       13042.875       13042.875       13042.883       13042.883    
   17.252000       12985.169       12985.169       13042.876       13042.876       13042.884       13042.884    
   17.286000       12985.170       12985.170       13042.876       13042.876       13042.884       13042.884    
   17.320000       12985.170       12985.170       13042.876       13042.876       13042.884       13042.884    
   17.354000       12985.170       12985.170       13042.877       13042.877       13042.884       13042.884    
   17.388000       12985.170       12985.170       13042.877       13042.877       13042.884       13042.884    
   17.422000       12985.170       12985.170       13042.877       13042.877       13042.884       13042.884    
   17.456000       12985.171       12985.171       13042.877       13042.877       13042.885       13042.885    
   17.490000       12985.171       12985.171       13042.878       13042.878       13042.885       13042.885    
   17.524000       12985.171       12985.171       13042.878       13042.878       13042.885       13042.885    
   17.558000       12985.171       12985.171       13042.878       13042.878       13042.885       13042.885    
   17.592000       12985.171       12985.171       13042.878       13042.878       13042.885       13042.885    
   17.626000       12985.172       12985.172       13042.879       13042.879       13042.885       13042.885    
   17.660000       12985.172       12985.172       13042.879       13042.879       13042.885       13042.885    
   17.694000       12985.172       12985.172       13042.879       13042.879       13042.886       13042.886    
   17.728000       12985.172       12985.172       13042.879       13042.879       13042.886       13042.886    
   17.762000       12985.172       12985.172       13042.880       13042.880       13042.886       13042.886    
   17.796000       12985.173       12985.173       13042.880       13042.880       13042.886       13042.886    
   17.830000       12985.173       12985.173       13042.880       13042.880       13042.886       13042.886    
   17.864000       12985.173       12985.173       13042.880       13042.880       13042.886       13042.886    
   17.898000       12985.173       12985.173       13042.880       13042.880       13042.886       13042.886    
   17.932000       12985.173       12985.173       13042.881       13042.881       13042.886       13042.886    
   17.966000       12985.173       12985.173       13042.881       13042.881       13042.887       13042.887    
   18.000000       12985.174       12985.174       13042.881       13042.881       13042.887       13042.887    
