-5		-2400.943309
-4.75		-2481.539144
-4.5		-2574.962101
-4.25		-2685.204484
-4		-2812.650673
-3.75		-2959.218163
-3.5		-3122.544932
-3.25		-3299.284532
-3		-3487.311569
-2.75		-3681.677920
-2.5		-3878.229582
-2.25		-4073.364597
-2		-4261.181039
-1.75		-4437.783360
-1.5		-4599.869964
-1.25		-4743.998185
-1		-4869.370039
-.75		-4975.614509
-.5		-5063.843895
-.25		-5135.871740
0		-5193.741293
.25		-5239.573584
.5		-5275.335620
.75		-5302.799067
1		-5323.530998
1.25		-5338.899463
1.5		-5350.077723
1.75		-5358.046533
2		-5363.600887
2.25		-5367.365903
2.5		-5369.820825
2.75		-5371.326386
3		-5372.151003
3.25		-5372.493111
3.5		-5372.498877
3.75		-5372.275711
4		-5371.902296
4.25		-5371.436009
4.5		-5370.918390
4.75		-5370.379156
5		-5369.839214
5.25		-5369.312907
5.5		-5368.809696
5.75		-5368.335448
6		-5367.893398
6.25		-5367.484880
6.5		-5367.109899
6.75		-5366.767528
7		-5366.456231
7.25		-5366.174113
7.5		-5365.919058
7.75		-5365.688882
8		-5365.481397
8.25		-5365.294500
8.5		-5365.126182
8.75		-5364.974559
9		-5364.837914
9.25		-5364.714649
9.5		-5364.603333
9.75		-5364.502668
10		-5364.411489
10.25		-5364.328759
10.5		-5364.253560
10.75		-5364.185066
